time,rayId,X,Y,Z,intensity
1.70024,18,8.55629,0.0746696,-0.37359,0.0120509
1.70024,19,15.8783,0.138568,-0.415804,0.00649779
1.70024,20,87.8494,0.76665,-0.766679,0.206141
1.70024,21,0,0,0,0
1.70024,22,0,0,0,0
1.70024,23,0,0,0,0
1.70024,24,8.55324,0.223974,-0.37357,0.0120515
1.70024,25,15.872,0.415622,-0.415764,0.00649841
1.70024,26,109.375,2.86407,-0.954824,0.000943309
1.70024,27,0,0,0,0
1.70024,28,0,0,0,0
1.70024,29,0,0,0,0
1.70024,30,8.54719,0.373178,-0.373534,0.0120527
1.70024,31,15.8594,0.692436,-0.415689,0.0064996
1.70024,32,109.171,4.76651,-0.953628,0.000944492
1.70024,33,0,0,0,0
1.70024,34,0,0,0,0
1.70024,35,0,0,0,0
1.80981,0,8.57706,-0.374483,-0.374839,0.0120219
1.80981,1,15.9498,-0.696384,-0.418058,0.00646875
1.80981,2,112.962,-4.93202,-0.986743,0.000913643
1.80981,3,0,0,0,0
1.80981,4,0,0,0,0
1.80981,5,0,0,0,0
1.80981,6,8.58304,-0.224755,-0.374872,0.0120208
1.80981,7,15.9621,-0.417983,-0.418127,0.0064677
1.80981,8,113.162,-2.96324,-0.987885,0.000912587
1.80981,9,0,0,0,0
1.80981,10,0,0,0,0
1.80981,11,0,0,0,0
1.80981,12,8.58601,-0.074929,-0.374888,0.0120204
1.80981,13,15.9682,-0.139352,-0.418158,0.00646721
